Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    XRP/USDT |      1 |           2.84 |           2.84 |             6.819 |           0.57 |        0:25:00 |     1     0     0   100 |
|    ZEC/USDT |      5 |           0.49 |           2.47 |             5.935 |           0.49 |        2:10:00 |     4     0     1  80.0 |
|    HTR/USDT |     13 |           0.19 |           2.41 |             5.799 |           0.48 |        2:28:00 |    11     0     2  84.6 |
|    YFI/USDT |      2 |           1.21 |           2.42 |             5.533 |           0.46 |        0:18:00 |     2     0     0   100 |
|    BNB/USDT |      1 |           2.21 |           2.21 |             5.301 |           0.44 |        4:40:00 |     1     0     0   100 |
|    BTT/USDT |      1 |           1.99 |           1.99 |             4.773 |           0.40 |        0:40:00 |     1     0     0   100 |
|    REN/USDT |      1 |           1.53 |           1.53 |             3.673 |           0.31 |        0:25:00 |     1     0     0   100 |
|   ALGO/USDT |      1 |           1.43 |           1.43 |             3.434 |           0.29 |        0:05:00 |     1     0     0   100 |
|    ZIL/USDT |      5 |           0.27 |           1.34 |             3.220 |           0.27 |        3:04:00 |     4     0     1  80.0 |
|    MAN/USDT |     11 |           0.15 |           1.61 |             2.281 |           0.19 |        2:33:00 |     8     0     3  72.7 |
|    XEM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|    XLM/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|   AAVE/USDT |      7 |           0.04 |           0.30 |            -0.040 |          -0.00 |        3:29:00 |     6     0     1  85.7 |
|    ORN/USDT |      5 |          -0.05 |          -0.25 |            -0.597 |          -0.05 |        1:07:00 |     4     0     1  80.0 |
|   LYXE/USDT |      5 |          -0.17 |          -0.84 |            -2.028 |          -0.17 |        0:39:00 |     4     0     1  80.0 |
|  WAVES/USDT |      3 |          -0.53 |          -1.60 |            -3.837 |          -0.32 |        2:35:00 |     2     0     1  66.7 |
|    DAG/USDT |      9 |          -0.26 |          -2.31 |            -5.995 |          -0.50 |        2:42:00 |     7     0     2  77.8 |
|   TOKO/USDT |     26 |          -0.12 |          -3.21 |            -7.722 |          -0.64 |        3:57:00 |    22     0     4  84.6 |
|   ROSE/USDT |      3 |          -1.49 |          -4.48 |           -10.757 |          -0.90 |        5:48:00 |     2     0     1  66.7 |
|    XDC/USDT |      2 |          -2.43 |          -4.85 |           -11.663 |          -0.97 |        5:25:00 |     1     0     1  50.0 |
|    TRX/USDT |      1 |          -6.74 |          -6.74 |           -16.200 |          -1.35 |        9:10:00 |     0     0     1     0 |
|   LINK/USDT |      3 |          -2.66 |          -7.98 |           -19.179 |          -1.60 |        8:17:00 |     2     0     1  66.7 |
|   SAND/USDT |      3 |          -2.92 |          -8.75 |           -21.027 |          -1.75 |        6:50:00 |     2     0     1  66.7 |
|    DGB/USDT |      8 |          -1.04 |          -8.31 |           -21.539 |          -1.79 |        4:15:00 |     6     0     2  75.0 |
|    VET/USDT |      3 |          -4.61 |         -13.84 |           -33.251 |          -2.77 |        8:53:00 |     2     0     1  66.7 |
|       TOTAL |    771 |           2.05 |        1578.61 |          3767.956 |         314.00 |        1:57:00 |   706     0    65  91.6 |
========================================================================== SELL REASON STATS ===========================================================================
|                                              Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|----------------------------------------------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|                                       trailing_stop_loss |     193 |    192     0     1  99.5 |           3.29 |         635.33 |          1526.32  |           8.25 |
|                         signal_profit_q_momdiv( clucHA ) |      42 |     42     0     0   100 |           4.11 |         172.83 |           415.206 |           2.24 |
|                              sell_profit_t_1_1( clucHA ) |      35 |     35     0     0   100 |           1.57 |          54.78 |           131.597 |           0.71 |
|                      signal_profit_q_pmax_bear( clucHA ) |      29 |     29     0     0   100 |           2.9  |          83.99 |           201.78  |           1.09 |
|                      signal_profit_q_momdiv_coh( gumbo ) |      28 |     28     0     0   100 |           3.83 |         107.15 |           253.96  |           1.39 |
|                       signal_profit_q_pmax_bear( gumbo ) |      24 |     24     0     0   100 |           3.4  |          81.59 |           194.609 |           1.06 |
|                     signal_profit_q_momdiv_coh( clucHA ) |      21 |     21     0     0   100 |           3.22 |          67.72 |           158.536 |           0.88 |
|                         sell_stoploss_deadfish( clucHA ) |      19 |      0     0    19     0 |         -12.13 |        -230.45 |          -553.643 |          -2.99 |
|                          signal_profit_q_momdiv( gumbo ) |      18 |     18     0     0   100 |           4.56 |          82.01 |           189.353 |           1.07 |
