Result for strategy BB_RPB_TSL
=========================================================== BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|    XTZ/USDT |     10 |           3.01 |          30.07 |            72.230 |           6.02 |        1:00:00 |    10     0     0   100 |
|   SAND/USDT |     17 |           1.72 |          29.28 |            70.343 |           5.86 |        2:58:00 |    16     0     1  94.1 |
|    PHA/USDT |     11 |           2.58 |          28.39 |            67.545 |           5.63 |        2:24:00 |    10     0     1  90.9 |
|    XPR/USDT |     10 |           2.73 |          27.26 |            65.480 |           5.46 |        1:06:00 |    10     0     0   100 |
|    AXS/USDT |     10 |           2.78 |          27.80 |            64.891 |           5.41 |        1:18:00 |    10     0     0   100 |
|    CKB/USDT |     13 |           1.97 |          25.67 |            61.397 |           5.12 |        1:27:00 |    13     0     0   100 |
|    FIL/USDT |      9 |           2.57 |          23.10 |            55.501 |           4.63 |        1:44:00 |     9     0     0   100 |
|   MANA/USDT |     11 |           2.10 |          23.10 |            53.493 |           4.46 |        1:21:00 |    11     0     0   100 |
|    ORN/USDT |     14 |           1.55 |          21.76 |            52.281 |           4.36 |        1:08:00 |    13     0     1  92.9 |
|    DYP/USDT |     14 |           1.53 |          21.43 |            51.261 |           4.27 |        2:33:00 |    12     0     2  85.7 |
|    SNX/USDT |     11 |           1.89 |          20.82 |            50.012 |           4.17 |        2:16:00 |    11     0     0   100 |
|   CELO/USDT |     15 |           1.35 |          20.23 |            48.595 |           4.05 |        2:15:00 |    13     0     2  86.7 |
|    ZCX/USDT |      7 |           2.72 |          19.07 |            45.822 |           3.82 |        1:12:00 |     7     0     0   100 |
|    CHR/USDT |     16 |           1.18 |          18.86 |            45.321 |           3.78 |        2:50:00 |    14     0     2  87.5 |
|   ALGO/USDT |      6 |           2.77 |          16.62 |            39.924 |           3.33 |        0:52:00 |     6     0     0   100 |
|   AAVE/USDT |     10 |           1.59 |          15.91 |            38.219 |           3.18 |        1:02:00 |     9     0     1  90.0 |
|   LINK/USDT |      7 |           2.14 |          15.00 |            36.028 |           3.00 |        1:53:00 |     7     0     0   100 |
|  THETA/USDT |     15 |           0.96 |          14.33 |            34.434 |           2.87 |        1:34:00 |    13     0     2  86.7 |
|    SOL/USDT |      5 |           2.79 |          13.97 |            33.556 |           2.80 |        0:48:00 |     5     0     0   100 |
|   IOST/USDT |      7 |           1.84 |          12.89 |            30.974 |           2.58 |        1:32:00 |     7     0     0   100 |
|  CIRUS/USDT |     13 |           0.76 |           9.94 |            23.881 |           1.99 |        4:39:00 |    11     0     2  84.6 |
|   LYXE/USDT |     20 |           0.41 |           8.25 |            19.818 |           1.65 |        2:33:00 |    17     0     3  85.0 |
|    UNI/USDT |      7 |           1.16 |           8.14 |            19.559 |           1.63 |        1:16:00 |     6     0     1  85.7 |
|    REN/USDT |      6 |           1.34 |           8.06 |            19.358 |           1.61 |        6:20:00 |     5     0     1  83.3 |
|    XLM/USDT |      3 |           2.52 |           7.55 |            18.141 |           1.51 |        3:38:00 |     3     0     0   100 |
|    XRP/USDT |      4 |           1.83 |           7.33 |            17.603 |           1.47 |        1:44:00 |     4     0     0   100 |
|   DYDX/USDT |      6 |           1.22 |           7.32 |            17.583 |           1.47 |        1:25:00 |     5     0     1  83.3 |
|    BTT/USDT |      6 |           1.22 |           7.31 |            17.554 |           1.46 |        1:08:00 |     5     0     1  83.3 |
|    ADA/USDT |      3 |           2.06 |           6.19 |            14.866 |           1.24 |        1:13:00 |     3     0     0   100 |
|    SLP/USDT |      4 |           1.42 |           5.67 |            13.628 |           1.14 |        2:40:00 |     4     0     0   100 |
|    BNB/USDT |      2 |           2.73 |           5.45 |            13.098 |           1.09 |        2:22:00 |     2     0     0   100 |
|    YFI/USDT |      3 |           2.04 |           6.13 |            11.707 |           0.98 |        4:33:00 |     3     0     0   100 |
|    LTC/USDT |      2 |           2.92 |           5.85 |            11.058 |           0.92 |        2:42:00 |     2     0     0   100 |
|    AVA/USDT |      8 |           0.56 |           4.47 |            10.737 |           0.89 |        2:24:00 |     7     0     1  87.5 |
|   IOTX/USDT |      3 |           1.44 |           4.33 |            10.403 |           0.87 |        6:42:00 |     3     0     0   100 |
|    VET/USDT |      9 |           0.40 |           3.57 |             8.579 |           0.71 |        3:38:00 |     8     0     1  88.9 |
|  ROUTE/USDT |      1 |           1.67 |           1.67 |             4.007 |           0.33 |        0:20:00 |     1     0     0   100 |
|    YGG/USDT |      6 |           0.27 |           1.65 |             3.956 |           0.33 |        2:16:00 |     4     0     2  66.7 |
|   NEAR/USDT |      7 |           0.19 |           1.36 |             3.257 |           0.27 |        1:47:00 |     6     0     1  85.7 |
|    WOO/USDT |      1 |           1.35 |           1.35 |             3.241 |           0.27 |        0:10:00 |     1     0     0   100 |
|  WAVES/USDT |      5 |           0.09 |           0.46 |             1.117 |           0.09 |        1:24:00 |     4     0     1  80.0 |
|    CRV/USDT |      5 |           0.07 |           0.37 |             0.880 |           0.07 |        3:05:00 |     4     0     1  80.0 |
|    DGB/USDT |     12 |           0.06 |           0.70 |             0.477 |           0.04 |        3:03:00 |    10     0     2  83.3 |
|   HBAR/USDT |      1 |           0.09 |           0.09 |             0.222 |           0.02 |        0:55:00 |     1     0     0   100 |
|    XDC/USDT |      9 |          -0.07 |          -0.61 |            -1.475 |          -0.12 |        2:55:00 |     7     0     2  77.8 |
|   COMP/USDT |      7 |          -0.35 |          -2.47 |            -6.053 |          -0.50 |        3:00:00 |     6     0     1  85.7 |
|    XEM/USDT |      4 |          -0.69 |          -2.75 |            -6.608 |          -0.55 |        4:29:00 |     3     0     1  75.0 |
|    ZIL/USDT |     10 |          -0.33 |          -3.28 |            -8.451 |          -0.70 |        3:32:00 |     8     0     2  80.0 |
|    TRX/USDT |      2 |          -1.95 |          -3.90 |            -9.359 |          -0.78 |        5:55:00 |     1     0     1  50.0 |
|    GRT/USDT |      5 |          -1.15 |          -5.74 |           -13.779 |          -1.15 |        3:09:00 |     4     0     1  80.0 |
|    ZEC/USDT |      6 |          -1.34 |          -8.04 |           -19.324 |          -1.61 |        4:05:00 |     4     0     2  66.7 |
